                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 3.4468,                 5.1709,                 3.8704,                0.49584,                0.00343,                0.00481,                0.00082,                 3.2628,                 4.7114,                 3.8984,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                 3.4056,                 5.1839,                 3.9187,                0.45429,                0.00332,                 0.0039,                0.00067,                 3.2658,                 4.7125,                 3.8943,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                 3.4822,                 5.0761,                 3.8873,                0.44052,                0.00401,                0.00265,                 0.0005,                 3.2629,                 4.7107,                  3.883,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                 3.4507,                 5.0392,                 3.8646,                0.42807,                0.00486,                0.00619,                0.00088,                 3.2642,                 4.7032,                 3.8673,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 3.4462,                  5.153,                  3.891,                 0.3986,                0.00343,                0.00476,                0.00059,                 3.2671,                  4.684,                 3.8568,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                 3.4089,                 5.1547,                 3.8684,                0.00761,                0.03988,                  0.009,                0.00099,                  3.268,                  4.661,                 3.8451,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                 3.4902,                 5.1598,                 3.8638,                0.00763,                0.04021,                0.00866,                0.00094,                 3.2666,                 4.6501,                  3.839,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                 3.4713,                 5.1697,                  3.874,                0.00324,                0.03368,                0.00382,                0.00045,                 3.2679,                   4.65,                  3.842,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                 3.4147,                 5.1694,                 3.8807,                0.00266,                0.04022,                0.00368,                0.00043,                 3.2637,                 4.6474,                 3.8412,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                  3.423,                 5.1169,                 3.8413,                0.00219,                 0.0374,                0.00459,                0.00054,                 3.2624,                 4.6306,                 3.8377,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                 3.3436,                 5.1986,                 3.8559,                0.00245,                0.04157,                0.00718,                0.00084,                 3.2607,                 4.6233,                 3.8337,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                 3.4512,                 5.1055,                 3.8698,                0.00251,                0.04331,                0.00337,                0.00055,                 3.2578,                 4.6228,                  3.834,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                 3.4511,                  5.092,                 3.8589,                0.00324,                0.04446,                0.00522,                 0.0007,                 3.2571,                 4.6185,                 3.8319,             3.6533e-05,             3.6533e-05,             3.6533e-05
