                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2965,                 3.5924,                  1.285,                0.34267,                0.42916,                0.29152,                0.16586,                 1.5443,                 4.9027,                 1.5674,              0.0099946,              0.0099946,              0.0099946
                     57,                  1.286,                 3.7488,                 1.2743,                 0.4023,                0.45857,                0.37421,                0.28148,                 1.0141,                 3.8737,                 1.1991,              0.0099945,              0.0099945,              0.0099945
                     58,                 1.2677,                  3.539,                  1.273,                0.40739,                0.57388,                0.46527,                0.32646,                 1.0969,                  3.308,                 1.2776,              0.0099944,              0.0099944,              0.0099944
                     59,                 1.2295,                 3.6263,                 1.2345,                  0.585,                0.30973,                0.33368,                 0.1944,                 1.6025,                 4.2918,                 1.6162,              0.0099943,              0.0099943,              0.0099943
                     60,                 1.2729,                 3.5194,                 1.2511,                0.53067,                0.41782,                0.42438,                0.27433,                 1.3901,                 3.5399,                 1.4435,              0.0099942,              0.0099942,              0.0099942
                     61,                 1.2269,                 3.4268,                 1.2155,                0.30748,                0.63276,                0.49356,                0.36667,                 1.0857,                 3.6947,                  1.232,              0.0099941,              0.0099941,              0.0099941
                     62,                 1.2895,                 3.6476,                 1.2847,                0.30726,                0.62151,                0.47637,                 0.3506,                 1.0764,                 3.2329,                 1.2463,               0.009994,               0.009994,               0.009994
                     63,                 1.1809,                 3.5475,                 1.2793,                0.39721,                    0.5,                0.50689,                0.36778,                 1.0667,                 2.8975,                 1.2077,              0.0099939,              0.0099939,              0.0099939
                     64,                 1.3023,                 3.4462,                 1.2956,                0.34304,                0.56258,                0.46468,                0.34917,                0.95441,                 2.7896,                 1.1511,              0.0099938,              0.0099938,              0.0099938
                     65,                 1.2952,                 3.5786,                 1.2982,                0.40222,                0.63799,                0.51283,                0.37619,                  1.013,                  2.995,                 1.1926,              0.0099937,              0.0099937,              0.0099937
                     66,                 1.1675,                 3.3014,                 1.2262,                0.44302,                0.55522,                0.48596,                 0.3662,                0.95293,                 2.5618,                 1.1431,              0.0099936,              0.0099936,              0.0099936
